,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.913,https://api.spotify.com/v1/audio-analysis/0ixa7hOenvqfHYe2Rh6ZIb,0.613,139624.0,0.85,0ixa7hOenvqfHYe2Rh6ZIb,1.15e-05,7.0,0.377,-9.002,1.0,0.571,124.121,3.0,https://api.spotify.com/v1/tracks/0ixa7hOenvqfHYe2Rh6ZIb,audio_features,spotify:track:0ixa7hOenvqfHYe2Rh6ZIb,0.471
1,0.000878,https://api.spotify.com/v1/audio-analysis/4yjlM9f8HSeUc9qWVTrKd2,0.42,120778.0,0.782,4yjlM9f8HSeUc9qWVTrKd2,0.0245,6.0,0.387,-6.051,0.0,0.217,177.659,4.0,https://api.spotify.com/v1/tracks/4yjlM9f8HSeUc9qWVTrKd2,audio_features,spotify:track:4yjlM9f8HSeUc9qWVTrKd2,0.64
2,0.0625,https://api.spotify.com/v1/audio-analysis/76r8GMCfAFttfKqvTKH623,0.566,113039.0,0.791,76r8GMCfAFttfKqvTKH623,1.24e-06,2.0,0.0759,-5.641,1.0,0.183,107.034,4.0,https://api.spotify.com/v1/tracks/76r8GMCfAFttfKqvTKH623,audio_features,spotify:track:76r8GMCfAFttfKqvTKH623,0.742
3,0.00573,https://api.spotify.com/v1/audio-analysis/7ys9JxHIV3QlJXPDQ6vbkc,0.284,258311.0,0.887,7ys9JxHIV3QlJXPDQ6vbkc,0.0934,4.0,0.119,-6.396,0.0,0.415,84.201,4.0,https://api.spotify.com/v1/tracks/7ys9JxHIV3QlJXPDQ6vbkc,audio_features,spotify:track:7ys9JxHIV3QlJXPDQ6vbkc,0.533
4,1.28e-05,https://api.spotify.com/v1/audio-analysis/7ib5NOykP6HOG6VdjeS6qz,0.31,208445.0,0.856,7ib5NOykP6HOG6VdjeS6qz,0.331,6.0,0.191,-6.133,1.0,0.0634,88.87,4.0,https://api.spotify.com/v1/tracks/7ib5NOykP6HOG6VdjeS6qz,audio_features,spotify:track:7ib5NOykP6HOG6VdjeS6qz,0.646
5,0.00128,https://api.spotify.com/v1/audio-analysis/2Miap882SbE8Ms89ONapNH,0.366,244176.0,0.535,2Miap882SbE8Ms89ONapNH,0.0721,9.0,0.0595,-6.401,0.0,0.0945,96.605,4.0,https://api.spotify.com/v1/tracks/2Miap882SbE8Ms89ONapNH,audio_features,spotify:track:2Miap882SbE8Ms89ONapNH,0.622
6,0.000589,https://api.spotify.com/v1/audio-analysis/1j2wtYGvaWQsP14bPQz6P7,0.417,285660.0,0.558,1j2wtYGvaWQsP14bPQz6P7,0.51,7.0,0.0899,-7.162,1.0,0.0371,101.225,4.0,https://api.spotify.com/v1/tracks/1j2wtYGvaWQsP14bPQz6P7,audio_features,spotify:track:1j2wtYGvaWQsP14bPQz6P7,0.161
7,0.935,https://api.spotify.com/v1/audio-analysis/4sI2gnLmwFsBMHgX1hYj4y,0.584,33138.0,0.143,4sI2gnLmwFsBMHgX1hYj4y,0.995,1.0,0.0733,-12.555,0.0,0.0731,86.079,4.0,https://api.spotify.com/v1/tracks/4sI2gnLmwFsBMHgX1hYj4y,audio_features,spotify:track:4sI2gnLmwFsBMHgX1hYj4y,0.17
8,0.78,https://api.spotify.com/v1/audio-analysis/3kdPs76UzSwhM7fFX86k2s,0.657,129417.0,0.348,3kdPs76UzSwhM7fFX86k2s,0.676,0.0,0.145,-7.96,1.0,0.062,117.887,4.0,https://api.spotify.com/v1/tracks/3kdPs76UzSwhM7fFX86k2s,audio_features,spotify:track:3kdPs76UzSwhM7fFX86k2s,0.432
9,0.68,https://api.spotify.com/v1/audio-analysis/3aDB01FvPndG0SEJpraN3d,0.0,13250.0,0.206,3aDB01FvPndG0SEJpraN3d,0.0,2.0,0.396,-18.429,0.0,0.0,0.0,0.0,https://api.spotify.com/v1/tracks/3aDB01FvPndG0SEJpraN3d,audio_features,spotify:track:3aDB01FvPndG0SEJpraN3d,0.0
